free,display memory usage
finger,display user information
find,search for files and directories
clear,clear the terminal screen
exit,close the terminal session
echo,display text
grep,search text using patterns
df,display disk space usage
chown,change file ownership
alias,create command aliases
cat,display file content
chmod,change file permissions
who,show logged-in users
top,monitor system processes
kill,terminate processes
ps,display process status
make,build software projects
gcc,GNU C compiler
g++,GNU C++ compiler
man,display manual pages
scp,securely copy files over SSH
ssh,Secure Shell for remote access
mv,move or rename files and directories
cp,copy files and directories
rm,remove files or directories
rmdir,remove an empty directory
mkdir,create a new directory
cd,change directory
ls,list files and directories
pwd,print working directory
